Date;DAS;Treatment;Variety;Id;Plant;Event;nb_Leaves;nb_tillers
07/09/2020;32;S-AF;V8;2;D_V8_2;NA;8.1;11
07/09/2020;32;S-AF;V8;3;D_V8_3;NA;8.3;14
07/09/2020;32;S-AF;V8;4;D_V8_4;NA;8.3;13
07/09/2020;32;S-AF;V8;7;D_V8_7;NA;8.5;14
07/09/2020;32;S-AF;V8;8;D_V8_8;NA;8.3;15
07/09/2020;32;S-AF;V8;9;D_V8_9;NA;8.2;11
07/09/2020;32;S;V2;2;L_V2_2;NA;7.6;15
07/09/2020;32;S;V2;3;L_V2_3;NA;7.6;11
07/09/2020;32;S;V2;4;L_V2_4;NA;7.4;9
07/09/2020;32;S;V2;7;L_V2_7;NA;7.4;10
07/09/2020;32;S;V2;8;L_V2_8;NA;7.5;11
07/09/2020;32;S;V2;9;L_V2_9;NA;7.5;8
07/09/2020;32;S;V5;2;L_V5_2;NA;7.2;7
07/09/2020;32;S;V5;3;L_V5_3;NA;7.4;7
07/09/2020;32;S;V5;4;L_V5_4;NA;7.3;8
07/09/2020;32;S;V5;7;L_V5_7;NA;7.1;7
07/09/2020;32;S;V5;8;L_V5_8;NA;7.3;7
07/09/2020;32;S;V5;9;L_V5_9;NA;7.5;7
07/09/2020;32;S;V8;2;L_V8_2;NA;8;10
07/09/2020;32;S;V8;3;L_V8_3;NA;7.7;8
07/09/2020;32;S;V8;4;L_V8_4;NA;8.1;11
07/09/2020;32;S;V8;7;L_V8_7;NA;8;11
07/09/2020;32;S;V8;8;L_V8_8;NA;7.8;9
07/09/2020;32;S;V8;9;L_V8_9;NA;7.7;8
08/09/2020;33;S;V1;2;L_V1_2;NA;7.8;7
08/09/2020;33;S;V1;3;L_V1_3;NA;7.4;8
08/09/2020;33;S;V1;4;L_V1_4;NA;7.3;6
08/09/2020;33;S;V1;7;L_V1_7;NA;7.7;8
08/09/2020;33;S;V1;8;L_V1_8;NA;7.6;8
08/09/2020;33;S;V1;9;L_V1_9;NA;7.6;7
08/09/2020;33;S;V3;2;L_V3_2;NA;8;14
08/09/2020;33;S;V3;3;L_V3_3;NA;8.2;17
08/09/2020;33;S;V3;4;L_V3_4;NA;8.2;15
08/09/2020;33;S;V3;7;L_V3_7;NA;8.3;16
